id,post,badge,reputation,learning,reciprocity,status,day,url,status_level
6241235,0.095897984,0.06193969,0,0,0.003259984,0.071428571,14,0,1
6241235,0.093622663,0.082820986,0.093023256,0,0.004358999,0.01754386,57,0,2
6241235,0.292751604,0.080855936,0.022321429,0,0.004255576,0.003558719,281,0,3
6241235,0.397388941,0.252830931,0.047619048,0.00952381,0.013306891,0.002590674,386,1,4
6241235,20.9824846,0.34319954,0.047619048,0.019047619,0.018063134,0.00203666,491,1,5
6241235,21.1023756,18.1212367,15,1.316326531,0.9537493,0.002028398,493,1,6
6241235,21.22259418,18.22477893,12.5,1.632653061,0.959198891,0.002020202,495,1,7
6241235,21.34314213,18.32860407,12.5,1.948979592,0.964663372,0.002012072,497,1,8
6241235,10.79245018,18.43271366,12.5,2.265306122,0.970142824,0.002004008,499,1,9
6241235,14.51148054,9.320752432,18.75,1.448979592,0.490565917,0.001988072,503,1,10
6241235,3.74992284,12.53264229,16.66666667,2.24829932,0.659612752,0.001976285,506,1,11
6241235,2.080599958,3.238569725,20.83333333,0.878401361,0.170451038,0.001930502,518,1,12
6241235,2.208879842,1.796881782,21.73913043,0.774622893,0.094572725,0.001848429,541,1,13
6241235,2.341609857,1.907668954,21.73913043,1.090949423,0.100403629,0.00177305,564,1,14
6241235,5.523202671,2.022299422,21.73913043,1.407275954,0.106436812,0.001703578,587,1,15
6241235,5.66288521,4.77003867,50,5.688803089,0.251054667,0.001675042,597,1,16
6241235,1.672445,4.890673591,50,8.140871484,0.257403873,0.001647446,607,1,17
6241235,0.830948506,1.444384318,54.05405405,4.652303931,0.076020227,0.001552795,644,1,18
6241235,1.418473495,0.717637346,54.94505495,4.343664499,0.037770387,0.001360544,735,1,19
6241235,1.622649829,1.225045291,81.96721311,10.78244396,0.064476068,0.001256281,796,1,20
6257435,0.090990156,0.062142273,0,0,0.003270646,0.111111111,9,0,1
6257435,0.147018058,0.078582407,0.114285714,0,0.004135916,0.022727273,44,0,2
6257435,0.227970122,0.126970141,0.113636364,0,0.006682639,0.011363636,88,0,3
