index,Id,status,reputation_s,dt_0,dt_s,post,badge,reptation,learning,reciprocity,url,day
111,5771269,6,50,2016-1-10,2016-1-17,0.071255061,0.058299595,15,0.892857143,0.321428571,0,7
112,5771269,7,75,2016-1-10,2016-1-19,0.320331911,0.262089745,37.5,4.017857143,1.446428571,0,9
113,5771269,8,100,2016-1-10,2016-1-21,0.071486596,0.058489033,12.5,0.892857143,0.321428571,0,11
114,5771269,9,125,2016-1-10,2016-1-23,0.463421436,0.379162993,62.5,5.803571429,2.089285714,0,13
115,5771269,10,200,2016-1-10,2016-1-27,0.071719641,0.058679707,18.75,0.892857143,0.321428571,0,17
116,5771269,11,250,2016-1-10,2016-1-30,0.476528024,0.389886565,83.33333333,5.952380952,2.142857143,0,20
117,5771269,12,500,2016-1-10,2016-2-9,0.072131148,0.059016393,25,0.892857143,0.321428571,0,30
118,5771269,13,1000,2016-1-10,2016-2-29,0.18027205,0.147495314,50,2.232142857,0.803571429,0,50
119,5771269,14,1500,2016-1-10,2016-3-26,0.07394958,0.060504202,19.23076923,0.452297702,0.433316683,0,76
120,5771269,15,2000,2016-1-10,2016-4-21,0.288221762,0.235817805,76.92307692,2.621628372,1.484765235,0,102
121,5771269,16,2500,2016-1-10,2016-5-17,0.077328647,0.063268893,19.23076923,0.452297702,0.433316683,0,128
122,5771269,17,3000,2016-1-10,2016-6-12,0.4446871,0.3638349,115.3846154,3.526223776,2.351398601,0,154
123,5771269,18,5000,2016-1-10,2016-9-21,0.081031308,0.066298343,19.8019802,0.452297702,0.433316683,0,255
124,5771269,19,10000,2016-1-10,2017-8-6,0.151239872,0.123741713,31.34796238,1.215165131,0.769708854,1,574
125,5771269,20,15000,2016-1-10,2018-8-17,0.132132132,0.108108108,13.29787234,0.97541409,0.506282846,1,950
126,5771269,21,20000,2016-1-10,2019-4-4,0.729218714,0.596633493,86.95652174,5.001793427,2.431895126,1,1180
127,5772882,1,1,2016-1-11,2016-1-15,0.07102502,0.05811138,0.25,0.037735849,0,1,4
128,5772882,2,5,2016-1-11,2016-1-29,0.071255061,0.058299595,0.285714286,0.037735849,0,1,18
129,5772882,3,10,2016-1-11,2016-2-14,0.152176505,0.12450805,0.625,0.080188679,0,1,34
130,5772882,4,15,2016-1-11,2016-3-1,0.073029046,0.059751037,0.3125,0.037735849,0,1,50
131,5772882,5,20,2016-1-11,2016-3-2,3.677300589,3.008700482,20,2.98578262,1.623239437,1,51
132,5772882,6,50,2016-1-11,2016-3-6,0.074074074,0.060606061,7.5,1.098990167,1.623239437,1,55
133,5772882,7,75,2016-1-11,2016-3-9,1.398856619,1.144519052,25,3.559571264,4.328638498,1,58
134,5772882,8,100,2016-1-11,2016-3-12,0.074513124,0.060965284,8.333333333,1.098990167,1.623239437,1,61
135,5772882,9,125,2016-1-11,2016-3-15,1.54807263,1.266604879,41.66666667,5.757551599,7.575117371,1,64
136,5772882,10,200,2016-1-11,2016-3-24,0.074893617,0.061276596,8.333333333,1.098990167,1.623239437,1,73
137,5772882,11,250,2016-1-11,2016-3-30,0.961848439,0.786966904,41.66666667,5.626251218,7.845657277,1,79
138,5772882,12,500,2016-1-11,2016-4-29,0.075862069,0.062068966,8.333333333,1.098990167,1.623239437,1,109
139,5772882,13,1000,2016-1-11,2016-6-28,0.211991985,0.173447987,16.66666667,2.211110373,3.219424883,1,169
140,5772882,14,1500,2016-1-11,2016-8-27,0.082242991,0.06728972,8.333333333,1.098990167,1.623239437,1,229
141,5772882,15,2000,2016-1-11,2016-10-25,0.386350722,0.316105136,33.89830508,4.465194107,6.547982812,1,288
142,5772882,16,2500,2016-1-11,2016-11-14,0.092534175,0.075709779,25,3.379620823,4.274864097,1,308
143,5772882,17,3000,2016-1-11,2016-12-4,1.326790822,1.085556127,150,19.93156426,27.86627749,1,328
144,5772882,18,5000,2016-1-11,2017-2-21,0.096597146,0.079034029,25.3164557,3.379620823,4.274864097,1,407
145,5772882,19,10000,2016-1-11,2017-10-3,0.258300441,0.211336724,44.64285714,5.877786717,7.400502842,1,631
146,5772882,20,15000,2016-1-11,2018-2-23,0.144736842,0.118421053,34.96503497,3.889982543,4.492922989,1,774
147,5772882,21,20000,2016-1-11,2018-7-10,0.762653641,0.623989343,145.9854015,18.18710187,21.65188756,1,911
148,5801661,1,1,2016-1-17,2016-1-18,0.071370641,0.058394161,1,2.829787234,0.340425532,0,1
149,5801661,2,5,2016-1-17,2016-1-19,0.071428571,0.058441558,4,2.829787234,0.340425532,0,2
150,5801661,3,10,2016-1-17,2016-1-20,0.214285808,0.175324752,10,8.489361702,1.021276596,0,3
151,5801661,4,15,2016-1-17,2016-1-21,0.071544715,0.058536585,5,2.829787234,0.340425532,0,4
152,5801661,5,20,2016-1-17,2016-1-22,0.357433453,0.292445553,20,14.14893617,1.70212766,0,5
153,5801661,6,50,2016-1-17,2016-1-24,0.071661238,0.058631922,15,2.829787234,0.340425532,0,7
154,5801661,7,75,2016-1-17,2016-1-26,0.322156105,0.263582267,37.5,12.73404255,1.531914894,0,9
155,5801661,8,100,2016-1-17,2016-1-28,0.071895425,0.058823529,12.5,2.829787234,0.340425532,0,11
156,5801661,9,125,2016-1-17,2016-1-30,0.466064623,0.3813256,62.5,18.39361702,2.212765957,0,13
157,5801661,10,200,2016-1-17,2016-2-4,0.072131148,0.059016393,15,2.829787234,0.340425532,0,18
158,5801661,11,250,2016-1-17,2016-2-8,0.395624229,0.323692551,62.5,15.56382979,1.872340426,0,22
159,5801661,12,500,2016-1-17,2016-2-24,0.072667217,0.059454996,15.625,2.829787234,0.340425532,0,38
160,5801661,13,1000,2016-1-17,2016-3-16,0.204362662,0.167205815,47.61904762,9.604940083,2.009331656,0,59
161,5801661,14,1500,2016-1-17,2016-4-5,0.074957411,0.06132879,25,4.484372707,1.393323551,0,79
162,5801661,15,2000,2016-1-17,2016-4-25,0.365794705,0.299286577,100,19.0539325,4.896445341,0,99
163,5801661,16,2500,2016-1-17,2016-5-15,0.077601411,0.063492063,25,4.484372707,1.393323551,0,119
164,5801661,17,3000,2016-1-17,2016-6-4,0.52239073,0.427410597,150,28.02267792,7.683092443,0,139
165,5801661,18,5000,2016-1-17,2016-8-23,0.080438757,0.065813528,25,4.484372707,1.393323551,0,219
166,5801661,19,10000,2016-1-17,2017-2-23,0.178539983,0.146078168,54.34782609,10.74411253,3.918135877,1,403
167,5801661,20,15000,2016-1-17,2017-10-18,0.106024096,0.086746988,21.09704641,5.425827288,1.9931312,1,640
168,5801661,21,20000,2016-1-17,2018-8-28,0.333044689,0.272491109,63.69426752,16.36225989,5.415728623,1,954
169,5820010,1,1,2016-1-21,2016-3-3,0.071602929,0.058584215,0.023809524,0,0,0,42
170,5820010,2,5,2016-1-21,2016-3-4,0.074136479,0.060657119,4,2.074299635,0.306942753,1,43
171,5820010,3,10,2016-1-21,2016-3-5,3.155658494,2.581902404,10,4.148599269,0.613885505,1,44
172,5820010,4,15,2016-1-21,2016-3-6,0.074261603,0.060759494,5,2.074299635,0.306942753,1,45
173,5820010,5,20,2016-1-21,2016-3-7,3.304244421,2.703472708,20,8.297198538,1.227771011,1,46
174,5820010,6,50,2016-1-21,2016-3-9,0.074387151,0.060862215,15,2.074299635,0.306942753,1,48
175,5820010,7,75,2016-1-21,2016-3-11,1.801022486,1.473563853,37.5,8.297198538,1.227771011,1,50
176,5820010,8,100,2016-1-21,2016-3-13,0.074639525,0.061068702,12.5,2.074299635,0.306942753,1,52
177,5820010,9,125,2016-1-21,2016-3-15,1.950428367,1.595805027,62.5,12.44579781,1.841656516,1,54
178,5820010,10,200,2016-1-21,2016-3-20,0.074893617,0.061276596,15,2.074299635,0.306942753,1,59
179,5820010,11,250,2016-1-21,2016-3-23,1.500321948,1.227536139,83.33333333,13.82866423,2.046285018,1,62
180,5820010,12,500,2016-1-21,2016-4-6,0.075407027,0.061696658,17.85714286,2.074299635,0.306942753,1,76
181,5820010,13,1000,2016-1-21,2016-5-4,0.27477493,0.224815852,35.71428571,4.593092048,0.679658952,1,104
182,5820010,14,1500,2016-1-21,2016-6-1,0.078222222,0.064,17.85714286,2.074299635,0.306942753,1,132
183,5820010,15,2000,2016-1-21,2016-6-29,0.433215931,0.354449398,71.42857143,8.741691317,1.293544458,1,160
184,5820010,16,2500,2016-1-21,2016-7-26,0.082319925,0.067352666,18.51851852,2.074299635,0.306942753,1,187
185,5820010,17,3000,2016-1-21,2016-8-22,0.616033865,0.504027708,111.1111111,13.21405693,1.955339017,1,214
186,5820010,18,5000,2016-1-21,2016-12-8,0.086699507,0.070935961,18.51851852,2.074299635,0.306942753,1,322
187,5820010,19,10000,2016-1-21,2017-9-4,0.193306343,0.158159735,37.03703704,4.225425182,0.625253756,1,592
188,5820010,20,15000,2016-1-21,2018-6-1,0.138147567,0.113029827,18.51851852,2.074299635,0.306942753,1,862
189,5820010,21,20000,2016-1-21,2018-7-15,2.273703734,1.860303055,454.5454545,51.30336249,7.906392914,1,906
190,5836671,1,1,2016-1-25,2016-3-4,0.071836735,0.05877551,0.025641026,0,0,0,39
191,5836671,2,5,2016-1-25,2016-3-5,0.074198988,0.060708263,4,0.737588652,1.269503546,1,40
192,5836671,3,10,2016-1-25,2016-3-6,2.950093245,2.413712655,10,1.475177305,2.539007092,1,41
193,5836671,4,15,2016-1-25,2016-3-7,0.074324324,0.060810811,5,0.737588652,1.269503546,1,42
194,5836671,5,20,2016-1-25,2016-3-8,3.09880472,2.53538568,20,2.95035461,5.078014184,1,43
195,5836671,6,50,2016-1-25,2016-3-11,0.074450085,0.060913706,10,0.737588652,1.269503546,1,46
196,5836671,7,75,2016-1-25,2016-3-13,1.735717012,1.420132101,37.5,3.319148936,5.712765957,1,48
197,5836671,8,100,2016-1-25,2016-3-15,0.074766355,0.061172472,12.5,0.737588652,1.269503546,1,50
198,5836671,9,125,2016-1-25,2016-3-17,1.885376984,1.542581169,62.5,4.794326241,8.25177305,1,52
199,5836671,10,200,2016-1-25,2016-3-23,0.075021313,0.061381074,12.5,0.737588652,1.269503546,1,58
200,5836671,11,250,2016-1-25,2016-3-27,1.130627488,0.925058854,62.5,4.241134752,7.29964539,1,62
201,5836671,12,500,2016-1-25,2016-4-15,0.07566638,0.061908856,13.15789474,0.737588652,1.269503546,1,81
202,5836671,13,1000,2016-1-25,2016-5-23,0.233769687,0.191266107,26.31578947,1.552818216,2.672639044,1,119
203,5836671,14,1500,2016-1-25,2016-6-30,0.079566004,0.065099458,13.15789474,0.737588652,1.269503546,1,157
204,5836671,15,2000,2016-1-25,2016-8-6,0.404201226,0.330710094,54.05405405,3.089898409,5.318190531,1,194
205,5836671,16,2500,2016-1-25,2016-9-12,0.085354025,0.069835112,13.51351351,0.737588652,1.269503546,1,231
206,5836671,17,3000,2016-1-25,2016-10-19,0.578086439,0.472979813,81.08108108,4.565075714,7.857197623,1,268
207,5836671,18,5000,2016-1-25,2016-12-22,0.091954023,0.07523511,31.25,2.192701703,4.236255077,1,332
208,5836671,19,10000,2016-1-25,2017-5-30,0.270080432,0.220974899,62.89308176,4.137611832,7.769818831,1,491
209,5836671,20,15000,2016-1-25,2017-12-28,0.119891008,0.098092643,23.58490566,2.913368801,2.911953277,1,703
210,5836671,21,20000,2016-1-25,2018-8-18,0.461971571,0.37797674,85.83690987,8.294090503,10.63288725,1,936
211,5841306,1,1,2016-1-26,2016-3-4,0.071895425,0.058823529,0.026315789,0,0,0,38
212,5841306,2,5,2016-1-26,2016-3-21,0.074198988,0.060708263,0.235294118,0.045356371,0.017278618,1,55
213,5841306,3,10,2016-1-26,2016-4-11,0.265440346,0.217178465,0.476190476,0.082073434,0.03126607,1,76
214,5841306,4,15,2016-1-26,2016-5-2,0.076655052,0.06271777,0.238095238,0.045356371,0.017278618,1,97
215,5841306,5,20,2016-1-26,2016-5-23,0.420178806,0.343782659,0.952380952,0.172786177,0.065823306,1,118
216,5841306,6,50,2016-1-26,2016-9-25,0.079566004,0.065099458,0.24,0.045356371,0.017278618,1,243
217,5841306,7,75,2016-1-26,2017-1-8,0.268461577,0.219650381,0.714285714,0.133909287,0.051013062,1,348
218,5841306,8,100,2016-1-26,2017-4-22,0.100456621,0.082191781,0.240384615,0.045356371,0.017278618,1,452
219,5841306,9,125,2016-1-26,2017-5-25,1.284776128,1.051180468,3.787878788,0.856496156,0.382217734,1,485
220,5841306,10,200,2016-1-26,2017-6-6,0.119079838,0.097428958,6.25,1.249924748,1.143386465,1,497
221,5841306,11,250,2016-1-26,2017-6-14,5.599366677,4.581300009,31.25,6.657858512,4.435114316,1,505
222,5841306,12,500,2016-1-26,2017-7-22,0.122392211,0.100139082,6.578947368,1.249924748,1.143386465,1,543
223,5841306,13,1000,2016-1-26,2017-10-6,0.779824857,0.638038519,13.15789474,2.575714334,2.181933836,1,619
224,5841306,14,1500,2016-1-26,2017-10-31,0.145454545,0.119008264,20,2.346857128,3.425720952,1,644
225,5841306,15,2000,2016-1-26,2017-11-25,2.667846249,2.182783295,80,12.52388583,13.48452076,1,669
226,5841306,16,2500,2016-1-26,2017-12-20,0.158558559,0.12972973,20,2.346857128,3.425720952,1,694
227,5841306,17,3000,2016-1-26,2018-1-14,2.992442543,2.448362081,120,17.21760009,20.33596267,1,719
228,5841306,18,5000,2016-1-26,2018-4-20,0.174257426,0.142574257,20.83333333,2.346857128,3.425720952,1,815
229,5841306,19,10000,2016-1-26,2018-10-14,0.732332802,0.599181384,56.49717514,6.44040738,8.038876697,1,992
