Id,CreationDate,LastAccessDate,DownVotes,UpVotes,Reputation,Views,WebsiteUrl
5892036,2016-2-6,2017-11-23,787,61,13764,674,http://sven.schoenung.org
5892036,2016-2-6,2018-5-30,787,61,15494,784,http://sven.schoenung.org
5892036,2016-2-6,2018-9-1,787,62,16512,841,http://sven.schoenung.org
5892036,2016-2-6,2018-11-30,787,62,17782,884,http://sven.schoenung.org
5892036,2016-2-6,2019-6-1,787,64,21693,1021,http://sven.schoenung.org
5892036,2016-2-6,2019-8-31,787,64,22843,1075,http://sven.schoenung.org
5910058,2016-2-10,2016-3-5,0,19,58,0,
5910058,2016-2-10,2016-12-10,894,1523,5887,393,
5910058,2016-2-10,2017-6-11,1471,2301,8360,745,
5910058,2016-2-10,2017-8-26,1725,2627,10031,973,
5910058,2016-2-10,2017-12-3,1946,2903,10447,1180,
5910058,2016-2-10,2018-6-3,2561,3569,12851,1856,
5910058,2016-2-10,2018-9-2,2869,3900,14174,2247,
5910058,2016-2-10,2018-12-1,3143,4218,15646,2581,
5910058,2016-2-10,2019-6-2,3838,4843,18976,3262,
5910058,2016-2-10,2019-8-31,4167,5173,21340,3665,
5928186,2016-2-15,2016-3-5,0,0,1,0,NULL
5928186,2016-2-15,2016-12-11,82,964,7014,552,
5928186,2016-2-15,2017-6-10,200,1594,19114,1757,
5928186,2016-2-15,2017-8-26,239,1846,24509,2499,
5928186,2016-2-15,2017-12-2,288,2120,30979,3273,
5928186,2016-2-15,2018-6-2,432,2524,53909,5821,
5928186,2016-2-15,2018-9-2,456,2615,63989,6854,
5928186,2016-2-15,2018-12-1,495,2727,75593,8172,
5928186,2016-2-15,2019-6-1,544,3027,104166,12346,
5928186,2016-2-15,2019-8-31,555,3050,116050,13525,
5933656,2016-2-16,2016-3-4,0,0,1,0,NULL
5933656,2016-2-16,2016-12-10,342,800,8509,508,
5933656,2016-2-16,2017-6-11,664,1401,11919,923,
5933656,2016-2-16,2017-8-27,874,1497,12484,1058,
5933656,2016-2-16,2017-12-2,1054,2022,13328,1224,
5933656,2016-2-16,2018-6-2,1293,2635,16069,1654,
5933656,2016-2-16,2018-9-2,1321,2742,16900,1769,
5933656,2016-2-16,2018-12-1,1358,2907,19079,1937,
5933656,2016-2-16,2019-6-1,1444,3159,22035,2252,
5933656,2016-2-16,2019-9-1,1481,3212,23221,2355,
5947043,2016-2-18,2016-3-4,0,2,76,1,
5947043,2016-2-18,2016-12-9,412,356,3626,271,
5947043,2016-2-18,2017-6-10,1012,871,7214,817,
5947043,2016-2-18,2017-8-26,1348,1108,9466,1174,
5947043,2016-2-18,2017-12-2,1995,1465,11882,1885,
5947043,2016-2-18,2018-6-3,3598,2304,17265,3184,
5947043,2016-2-18,2018-9-1,4254,2877,19857,3844,
5947043,2016-2-18,2018-12-1,5114,3521,22171,4637,
5947043,2016-2-18,2019-6-1,6101,4731,27184,5855,
5947043,2016-2-18,2019-8-31,6550,5307,29310,6471,
5958455,2016-2-21,2016-2-21,0,0,1,0,NULL
5958455,2016-2-21,2016-10-7,0,0,1,0,NULL
5958455,2016-2-21,2017-6-10,8,23,203,8,NULL
5958455,2016-2-21,2017-8-27,107,99,1057,94,NULL
5958455,2016-2-21,2017-12-3,548,312,4322,488,https://iBug.github.io
5958455,2016-2-21,2018-6-2,1306,769,13304,2050,https://ibug.github.io
5958455,2016-2-21,2018-9-2,1361,813,14271,2235,https://ibug.github.io
5958455,2016-2-21,2018-12-2,1454,924,16643,2658,https://ibug.github.io
5958455,2016-2-21,2019-6-2,1686,1228,22005,3593,https://iBugOne.com
5958455,2016-2-21,2019-9-1,1708,1295,22681,3775,https://ibugone.com
5974433,2016-2-24,2016-3-5,0,0,1,0,NULL
5974433,2016-2-24,2016-12-10,42,1021,2368,145,
5974433,2016-2-24,2017-6-10,64,1891,7691,575,
5974433,2016-2-24,2017-8-26,81,2139,9684,821,
5974433,2016-2-24,2017-12-2,110,2469,12319,1121,
5974433,2016-2-24,2018-5-26,130,2869,17396,2843,
5974433,2016-2-24,2018-5-26,130,2869,18997,3731,
5974433,2016-2-24,2018-11-21,130,2869,20761,4646,
5974433,2016-2-24,2019-5-27,131,2872,24234,5318,
5974433,2016-2-24,2019-8-31,131,2892,25569,5524,
6022656,2016-3-5,2016-3-6,0,0,8,0,NULL
6022656,2016-3-5,2016-12-11,100,991,7134,199,
6022656,2016-3-5,2017-6-11,164,1558,12854,431,
6022656,2016-3-5,2017-8-27,194,1737,14620,489,
6022656,2016-3-5,2017-12-3,233,2099,19122,652,
6022656,2016-3-5,2018-6-3,299,2664,25865,973,
6022656,2016-3-5,2018-9-1,314,2809,29241,1095,
6022656,2016-3-5,2018-12-2,326,2967,33160,1276,
6022656,2016-3-5,2019-6-2,353,3296,41683,1813,
6022656,2016-3-5,2019-8-31,359,3415,45254,1971,
6024220,2016-3-6,2016-3-6,0,0,1,0,NULL
6024220,2016-3-6,2016-12-8,0,1,21,8,NULL
6024220,2016-3-6,2017-6-11,0,5,21,10,NULL
6024220,2016-3-6,2017-8-27,2,14,1579,69,
6024220,2016-3-6,2017-12-2,2,20,3581,159,
6024220,2016-3-6,2018-6-3,7,37,7154,360,
6024220,2016-3-6,2018-9-1,8,40,8126,424,
6024220,2016-3-6,2018-12-2,11,48,11702,605,
6024220,2016-3-6,2019-6-2,117,294,20156,1110,
6024220,2016-3-6,2019-9-1,295,484,25170,1582,
6067741,2016-3-15,2016-12-10,74,43,2378,246,http://4c74356b41.com
6067741,2016-3-15,2017-6-10,343,126,8362,1225,http://4c74356b41.com
6067741,2016-3-15,2017-8-26,440,143,10781,1728,http://4c74356b41.com
6067741,2016-3-15,2017-12-2,495,152,13105,2136,http://4c74356b41.com
6067741,2016-3-15,2018-6-2,581,198,17080,3011,http://4c74356b41.com
6067741,2016-3-15,2018-9-1,625,226,19527,3591,http://4c74356b41.com
6067741,2016-3-15,2018-12-1,660,255,22761,4318,http://4c74356b41.com
6067741,2016-3-15,2019-6-1,747,437,35575,6592,https://4c74356b41.com
6067741,2016-3-15,2019-8-31,791,454,39624,7676,https://4c74356b41.com
6163022,2016-4-5,2016-12-10,30,310,9269,1103,
6163022,2016-4-5,2017-6-10,62,548,12365,1384,
6163022,2016-4-5,2017-8-26,65,666,13394,1473,
6163022,2016-4-5,2017-12-1,72,1050,15616,1651,
6163022,2016-4-5,2018-6-1,72,1437,17540,1774,
6163022,2016-4-5,2018-8-31,72,1620,18778,1843,
6163022,2016-4-5,2018-11-30,72,1682,19795,1908,
6163022,2016-4-5,2019-5-31,72,1739,21418,2025,
6163022,2016-4-5,2019-8-28,73,1762,22128,2058,
6167855,2016-4-6,2016-12-10,141,777,4235,260,
6167855,2016-4-6,2017-6-11,248,1339,7274,545,
6167855,2016-4-6,2017-8-27,291,1654,10332,780,
6167855,2016-4-6,2017-12-3,331,1944,13291,1000,
6167855,2016-4-6,2018-6-2,366,2326,15269,1202,
6167855,2016-4-6,2018-9-1,391,2745,17802,1410,
6167855,2016-4-6,2018-12-1,415,3063,20150,1560,
6167855,2016-4-6,2019-5-31,450,3571,22395,1810,
6167855,2016-4-6,2019-8-31,454,3680,22958,1885,
6231153,2016-4-20,2016-12-11,359,734,10749,401,
6231153,2016-4-20,2017-6-11,399,1081,15751,630,
6231153,2016-4-20,2017-8-26,453,1323,18808,780,
6231153,2016-4-20,2017-12-3,512,1709,22816,1074,
6231153,2016-4-20,2018-6-1,512,1711,23541,1162,
6231153,2016-4-20,2018-8-31,514,1712,23888,1229,
6231153,2016-4-20,2018-12-1,520,1755,24718,1290,
6231153,2016-4-20,2019-6-2,532,2424,33423,1775,
6231153,2016-4-20,2019-8-30,532,2456,34254,1824,
6238977,2016-4-22,2016-12-5,0,2,18,2,NULL
6238977,2016-4-22,2017-6-5,0,2,23,2,NULL
6238977,2016-4-22,2017-8-22,0,2,23,2,NULL
6238977,2016-4-22,2017-12-2,2,41,810,37,
6238977,2016-4-22,2018-6-2,22,283,5040,243,
6238977,2016-4-22,2018-9-1,27,421,7610,415,
6238977,2016-4-22,2018-12-1,32,639,10480,618,https://www.linkedin.com/in/micha%C5%82-k%C5%82usak-45337857/
6238977,2016-4-22,2019-6-1,50,1156,17965,1060,https://www.linkedin.com/in/micha%C5%82-k%C5%82usak-45337857/
6238977,2016-4-22,2019-9-1,55,1308,20700,1198,https://www.linkedin.com/in/micha%C5%82-k%C5%82usak-45337857/
6241235,2016-4-22,2016-6-28,0,0,6,3,NULL
6241235,2016-4-22,2017-6-10,0,0,13,4,NULL
6241235,2016-4-22,2017-8-26,0,2,20,6,
6241235,2016-4-22,2017-12-2,4,33,2047,184,
6241235,2016-4-22,2018-6-3,722,486,12090,1125,
6241235,2016-4-22,2018-9-2,736,946,20497,1875,
6241235,2016-4-22,2018-12-2,743,1301,27123,2501,
6241235,2016-4-22,2019-6-1,855,2303,44166,3943,
6241235,2016-4-22,2019-9-1,921,2734,52327,4822,
6257435,2016-4-26,2016-12-7,0,0,26,0,NULL
6257435,2016-4-26,2017-6-10,72,8,4697,346,NULL
6257435,2016-4-26,2017-8-27,142,12,7388,520,NULL
6257435,2016-4-26,2017-12-2,226,16,9476,713,NULL
6257435,2016-4-26,2018-6-2,310,17,12063,885,NULL
6257435,2016-4-26,2018-9-2,349,18,13594,999,NULL
6257435,2016-4-26,2018-12-1,378,18,15351,1125,NULL
6257435,2016-4-26,2019-6-2,429,19,19132,1495,NULL
6257435,2016-4-26,2019-8-31,438,19,21445,1710,NULL
6287308,2016-5-3,2016-12-10,0,0,1,2,NULL
6287308,2016-5-3,2017-6-11,6,626,4709,254,
6287308,2016-5-3,2017-8-27,6,766,5964,413,
6287308,2016-5-3,2017-12-3,6,1118,10335,813,
6287308,2016-5-3,2018-6-2,7,1324,13860,1250,
6287308,2016-5-3,2018-9-2,7,1367,14703,1411,
6287308,2016-5-3,2018-12-2,8,1477,16765,1776,
6287308,2016-5-3,2019-6-2,14,1833,23834,2616,
6287308,2016-5-3,2019-8-31,14,1847,24654,2787,
6287910,2016-5-3,2016-12-10,0,10,402,5,
6287910,2016-5-3,2017-6-11,2,61,3016,160,
6287910,2016-5-3,2017-8-27,3,99,6609,260,
6287910,2016-5-3,2017-12-3,6,162,10899,392,
6287910,2016-5-3,2018-6-3,10,262,17788,659,
6287910,2016-5-3,2018-9-2,11,323,20733,755,
6287910,2016-5-3,2018-12-2,11,410,24562,872,
6287910,2016-5-3,2019-6-2,12,523,31149,1522,
6287910,2016-5-3,2019-8-31,12,570,34057,2247,
6294072,2016-5-5,2016-12-8,1,25,145,11,
6294072,2016-5-5,2017-6-10,596,1436,11326,963,
6294072,2016-5-5,2017-8-26,788,1765,15270,1371,
6294072,2016-5-5,2017-12-2,962,1997,19922,1841,
6294072,2016-5-5,2018-6-1,1189,2198,26944,2781,
6294072,2016-5-5,2018-9-1,1241,2232,29658,3415,
6294072,2016-5-5,2018-12-1,1257,2282,32389,3891,
6294072,2016-5-5,2019-6-1,1388,2487,39293,4900,
6294072,2016-5-5,2019-8-31,1554,2550,42417,5420,
6336479,2016-5-15,2016-12-11,54,274,5900,411,
6336479,2016-5-15,2017-6-11,382,770,17156,1468,
6336479,2016-5-15,2017-8-26,534,813,19982,1745,
6336479,2016-5-15,2017-12-2,685,825,21187,1939,
6336479,2016-5-15,2018-6-1,689,829,22422,2271,
6336479,2016-5-15,2018-8-30,691,830,23197,2454,
